Country,Code,Anxiety,Depression
Afghanistan,AFG,4.882481,4.136347
Albania,ALB,3.385245,2.208414
Algeria,DZA,5.065876,3.661094
American Samoa,ASM,3.315834,2.939668
Andorra,AND,5.305375,3.729532
Angola,AGO,3.296906,4.160484
Antigua and Barbuda,ATG,4.604823,2.557963
Argentina,ARG,6.283678,3.665488
Armenia,ARM,2.592813,2.754583
Australia,AUS,6.584301,4.623881
Austria,AUT,5.341275,3.26097
Azerbaijan,AZE,2.583157,2.592293
Bahamas,BHS,4.655024,2.626633
Bahrain,BHR,4.673304,3.879105
Bangladesh,BGD,4.283989,4.110611
Barbados,BRB,4.663044,2.763322
Belarus,BLR,2.946932,4.022226
Belgium,BEL,5.212645,4.109186
Belize,BLZ,4.568548,2.838667
Benin,BEN,2.905294,3.629899
Bermuda,BMU,4.692816,2.826293
Bhutan,BTN,3.801432,3.439334
Bolivia,BOL,4.243625,3.085905
Bosnia and Herzegovina,BIH,3.402636,2.31961
Botswana,BWA,3.506339,3.968129
Brazil,BRA,6.06918,3.297368
Brunei,BRN,3.621414,2.561983
Bulgaria,BGR,3.587521,2.543141
Burkina Faso,BFA,2.900239,3.694254
Burundi,BDI,3.58576,3.721228
Cambodia,KHM,3.289745,3.094945
Cameroon,CMR,2.908663,3.745647
Canada,CAN,5.178218,3.988792
Cape Verde,CPV,2.998977,4.082451
Central African Republic,CAF,3.24999,4.211728
Chad,TCD,2.887049,3.874837
Chile,CHL,6.272084,4.057723
China,CHN,3.030969,3.311306
Colombia,COL,2.514803,2.196154
Comoros,COM,3.649877,3.330114
Republic of the Congo,COG,3.270745,4.008291
Costa Rica,CRI,2.936829,2.904788
Ivory Coast,CIV,2.879312,3.337989
Croatia,HRV,3.447606,2.779842
Cuba,CUB,4.623594,3.319131
Cyprus,CYP,5.304908,3.328111
Czechia,CZE,3.443601,2.675387
Democratic Republic of the Congo,COD,3.25157,3.956872
Denmark,DNK,5.314635,3.291885
Djibouti,DJI,3.57065,3.60901
Dominica,DMA,4.544904,2.629649
Dominican Republic,DOM,4.558309,2.978523
Ecuador,ECU,4.305357,2.977117
Egypt,EGY,4.361023,3.238182
El Salvador,SLV,2.94522,3.025887
Equatorial Guinea,GNQ,3.278991,4.16709
Eritrea,ERI,3.665668,3.867377
Estonia,EST,2.962244,3.848854
Ethiopia,ETH,3.731997,3.816266
Fiji,FJI,3.282447,3.171898
Finland,FIN,3.752062,4.792736
France,FRA,6.62671,4.253807
Gabon,GAB,3.299512,4.049029
Gambia,GMB,2.913376,4.158517
Georgia,GEO,2.602456,2.797379
Germany,DEU,6.540496,3.959866
Ghana,GHA,2.936416,3.396647
Greece,GRC,5.790228,4.185864
Greenland,GRL,5.722163,6.233635
Grenada,GRD,4.530095,2.770066
Guam,GUM,3.308606,3.492856
Guatemala,GTM,2.906947,3.216025
Guinea,GIN,2.901304,3.560933
Guinea-Bissau,GNB,2.915177,3.66543
Guyana,GUY,4.547027,4.141724
Haiti,HTI,4.518425,2.957782
Honduras,HND,2.875551,2.752301
Hungary,HUN,3.454657,2.765242
Iceland,ISL,5.290988,3.361665
India,IND,3.301939,3.529853
Indonesia,IDN,3.28022,2.642736
Iran,IRN,6.9009,5.116345
Iraq,IRQ,4.722673,3.891163
Ireland,IRL,5.839092,4.250921
Israel,ISR,3.063078,3.832221
Italy,ITA,5.626121,3.464256
Jamaica,JAM,4.577528,2.592385
Japan,JPN,3.569054,3.341565
Jordan,JOR,4.88835,3.563602
Kazakhstan,KAZ,2.607806,3.511775
Kenya,KEN,3.643353,3.508419
Kiribati,KIR,3.284168,3.172754
Kuwait,KWT,4.967279,3.635679
Kyrgyzstan,KGZ,2.562742,3.053673
Laos,LAO,4.224294,2.912431
Latvia,LVA,2.94495,3.499571
Lebanon,LBN,6.074356,3.676734
Lesotho,LSO,3.481456,5.636661
Liberia,LBR,2.881373,3.803038
Libya,LBY,4.97646,3.804791
Lithuania,LTU,2.937224,4.143254
Luxembourg,LUX,5.316516,3.617719
North Macedonia,MKD,3.391595,2.332386
Madagascar,MDG,3.583301,3.708514
Malawi,MWI,3.660937,3.446137
Malaysia,MYS,4.340783,3.520854
Maldives,MDV,3.165132,3.09997
Mali,MLI,2.888672,3.00742
Malta,MLT,5.317984,3.374137
Marshall Islands,MHL,3.238921,3.104347
Mauritania,MRT,2.933461,3.094161
Mauritius,MUS,3.322963,3.478524
Mexico,MEX,3.186326,2.788807
Micronesia (country),FSM,3.254045,3.134619
Moldova,MDA,2.887918,3.432549
Mongolia,MNG,2.57518,3.525488
Montenegro,MNE,3.423967,2.55864
Morocco,MAR,4.986826,5.413573
Mozambique,MOZ,3.672136,3.901795
Myanmar,MMR,3.313936,2.300982
Namibia,NAM,3.508308,3.45997
Nepal,NPL,3.879455,3.606939
Netherlands,NLD,6.620242,4.026854
New Zealand,NZL,8.539931,3.971265
Nicaragua,NIC,2.9123,2.854084
Niger,NER,2.891358,3.463055
Nigeria,NGA,2.915837,3.917691
North Korea,PRK,3.240918,3.090846
Northern Mariana Islands,MNP,3.300622,3.097055
Norway,NOR,7.585503,3.77191
Oman,OMN,4.519612,3.433951
Pakistan,PAK,3.823379,3.33128
Palestine,PSE,4.985536,4.665074
Panama,PAN,2.891779,2.679025
Papua New Guinea,PNG,3.192717,3.168661
Paraguay,PRY,6.015214,2.95884
Peru,PER,4.259925,2.276321
Philippines,PHL,3.26972,2.765176
Poland,POL,3.461075,2.250472
Portugal,PRT,5.383261,4.421461
Puerto Rico,PRI,4.683654,2.726108
Qatar,QAT,4.336059,3.482327
Romania,ROU,3.227186,2.359174
Russia,RUS,2.945051,3.707925
Rwanda,RWA,3.702435,3.86945
Saint Lucia,LCA,4.593078,2.839268
Saint Vincent and the Grenadines,VCT,4.524137,2.859089
Samoa,WSM,3.255973,3.038938
Sao Tome and Principe,STP,2.921524,3.136314
Saudi Arabia,SAU,4.754236,3.536847
Senegal,SEN,2.899331,3.370497
Republic of Serbia,SRB,3.404672,2.570068
Seychelles,SYC,3.30267,2.886514
Sierra Leone,SLE,2.880725,3.581501
Singapore,SGP,3.730467,3.438271
Slovakia,SVK,3.444251,2.401999
Slovenia,SVN,3.449773,2.863278
Solomon Islands,SLB,3.214828,3.153068
Somalia,SOM,3.568698,3.784748
South Africa,ZAF,3.99283,3.745871
South Korea,KOR,3.778005,3.165684
South Sudan,SSD,3.553077,3.699147
Spain,ESP,5.280279,3.538359
Sri Lanka,LKA,3.369917,3.44333
Sudan,SDN,4.899048,3.781451
Suriname,SUR,4.56807,3.973583
Swaziland,SWZ,3.484456,4.067654
Sweden,SWE,5.293837,4.487911
Switzerland,CHE,5.359393,3.70806
Syria,SYR,4.974985,3.582073
Taiwan,TWN,3.444566,3.016543
Tajikistan,TJK,2.524336,2.563961
United Republic of Tanzania,TZA,3.636165,3.685748
Thailand,THA,3.329594,3.085057
Timor,TLS,3.232661,3.139087
Togo,TGO,2.910945,3.656725
Tonga,TON,3.297507,2.91897
Trinidad and Tobago,TTO,4.629351,3.329938
Tunisia,TUN,5.072361,3.915189
Turkey,TUR,3.9134,3.718658
Turkmenistan,TKM,2.567311,2.823086
Uganda,UGA,3.526626,4.918028
Ukraine,UKR,2.94177,4.071915
United Arab Emirates,ARE,4.263912,2.877426
United Kingdom,GBR,4.649861,4.119524
United States of America,USA,6.635055,4.83561
United States Virgin Islands,VIR,4.718338,2.925182
Uruguay,URY,6.317738,3.617574
Uzbekistan,UZB,2.560435,2.886924
Vanuatu,VUT,3.218816,3.122695
Venezuela,VEN,2.866789,2.814584
Vietnam,VNM,2.066871,2.87945
World,OWID_WRL,3.764811,3.441087
Yemen,YEM,4.857207,4.012346
Zambia,ZMB,3.599714,3.641811
Zimbabwe,ZWE,3.110926,3.192789
